"CONTENT","ID","POSTID","USERID"
"Hello, my name is MercuryName and here is my 1 comment for post with title: MercuryLogin 1 post title !","1","1","77"
"Hello, my name is VenusName and here is my 1 comment for post with title: MercuryLogin 1 post title !","2","1","2"
"Hello, my name is MercuryName and here is my 1 comment for post with title: MercuryLogin 2 post title !","3","2","1"
"Hello, my name is VenusName and here is my 1 comment for post with title: MercuryLogin 2 post title !","4","2","2"
"Hello, my name is MercuryName and here is my 1 comment for post with title: VenusLogin 1 post title !","5","3","1"
"Hello, my name is VenusName and here is my 1 comment for post with title: VenusLogin 1 post title !","6","3","2"
"Hello, my name is MercuryName and here is my 1 comment for post with title: VenusLogin 2 post title !","7","4","1"
"Hello, my name is VenusName and here is my 1 comment for post with title: VenusLogin 2 post title !","8","4","2"
"New user's comment","9","5","3"
"New user's comment","10","6","4"
"New user's comment","11","7","5"
"New user's comment","12","8","6"
"New user's comment","13","9","7"
"New user's comment","14","10","8"
"New user's comment","15","11","9"
"New user's comment","16","12","10"
